"trial_id","first_rating","group_rating","second_rating_model_1","second_rating_model_2"
1,1,1,1,1
2,2,1,1,3
3,3,1,5,3
4,4,1,3,4
5,5,1,4,3
6,6,1,2,6
7,7,1,7,4
8,8,1,7,5
9,1,2,1,2
10,2,2,1,1
11,3,2,1,6
12,4,2,4,4
13,5,2,2,3
14,6,2,3,6
15,7,2,4,2
16,8,2,8,5
17,1,3,1,2
18,2,3,1,3
19,3,3,2,5
20,4,3,4,5
21,5,3,3,4
22,6,3,6,4
23,7,3,4,7
24,8,3,6,6
25,1,4,1,1
26,2,4,1,4
27,3,4,4,5
28,4,4,2,5
29,5,4,6,3
30,6,4,7,2
31,7,4,5,3
32,8,4,7,8
33,1,5,1,5
34,2,5,6,3
35,3,5,3,7
36,4,5,5,8
37,5,5,7,6
38,6,5,5,4
39,7,5,4,7
40,8,5,4,8
41,1,6,3,2
42,2,6,2,5
43,3,6,4,4
44,4,6,5,7
45,5,6,8,7
46,6,6,7,6
47,7,6,7,5
48,8,6,8,8
49,1,7,4,4
50,2,7,1,2
51,3,7,1,4
52,4,7,6,7
53,5,7,7,3
54,6,7,7,5
55,7,7,7,5
56,8,7,8,6
57,1,8,4,2
58,2,8,3,4
59,3,8,3,5
60,4,8,5,6
61,5,8,4,1
62,6,8,3,1
63,7,8,6,7
64,8,8,8,6
