"participant_id","FirstRating","GroupRating","SecondRating","rating_change"
1,4.94285714285714,4.68571428571429,5.12857142857143,0.185714285714286
2,4.44285714285714,4.77142857142857,3.98571428571429,-0.457142857142857
3,3.41428571428571,3.74285714285714,3.58571428571429,0.171428571428571
4,5.08571428571429,5.05714285714286,4.91428571428571,-0.171428571428571
5,5.77142857142857,5.3,5.91428571428571,0.142857142857143
6,4.92857142857143,4.85714285714286,4.18571428571429,-0.742857142857143
7,4.32857142857143,4.54285714285714,4.22857142857143,-0.1
8,5.11428571428571,4.97142857142857,4.84285714285714,-0.271428571428571
9,3.74285714285714,4.04285714285714,3.95714285714286,0.214285714285714
10,3.97142857142857,4.08571428571429,3.94285714285714,-0.0285714285714286
11,3.94285714285714,4.47142857142857,4.24285714285714,0.3
12,4.7,4.74285714285714,4.8,0.1
13,5.08571428571429,4.84285714285714,4.95714285714286,-0.128571428571429
14,4.05714285714286,4.65714285714286,3.97142857142857,-0.0857142857142857
15,4.15714285714286,4.22857142857143,4.38571428571429,0.228571428571429
16,4.08571428571429,4.38571428571429,4.05714285714286,-0.0285714285714286
17,4.92857142857143,4.75714285714286,4.68571428571429,-0.242857142857143
18,4.32857142857143,4.41428571428571,4.2,-0.128571428571429
19,5.44285714285714,4.78571428571429,5.45714285714286,0.0142857142857143
20,4.82857142857143,4.65714285714286,4.88571428571429,0.0571428571428571
21,3.97142857142857,4.1,3.85714285714286,-0.114285714285714
22,4.71428571428571,5.01428571428571,4.5,-0.214285714285714
23,4.81428571428571,4.34285714285714,4.58571428571429,-0.228571428571429
24,4.81428571428571,4.55714285714286,4.67142857142857,-0.142857142857143
25,4.01428571428571,3.95714285714286,4.12857142857143,0.114285714285714
26,4.45714285714286,4.4,4.4,-0.0571428571428571
27,5.61428571428571,5.14285714285714,1,-4.61428571428571
28,3.67142857142857,4.47142857142857,3.04285714285714,-0.628571428571429
29,6,5,6.01428571428571,0.0142857142857143
30,5.38571428571429,5.07142857142857,5.1,-0.285714285714286
31,4.65714285714286,4.78571428571429,4.67142857142857,0.0142857142857143
32,4.4,4.27142857142857,4.22857142857143,-0.171428571428571
34,4.18571428571429,4.5,3.78571428571429,-0.4
35,4.28571428571429,4.25714285714286,3.92857142857143,-0.357142857142857
36,4.61428571428571,4.41428571428571,4.07142857142857,-0.542857142857143
37,4.67142857142857,4.52857142857143,4.44285714285714,-0.228571428571429
38,7.1,5.7,6.68571428571429,-0.414285714285714
39,4.47142857142857,4.34285714285714,4.62857142857143,0.157142857142857
40,4,4.5,3.42857142857143,-0.571428571428571
41,3.82857142857143,4.3,3.52857142857143,-0.3
42,4.34285714285714,4.44285714285714,4.48571428571429,0.142857142857143
43,4.31428571428571,4.45714285714286,4.11428571428571,-0.2
44,3.84285714285714,4.62857142857143,4.18571428571429,0.342857142857143
45,6.21428571428571,5.45714285714286,5.61428571428571,-0.6
